2015-07-10,13300,324400,-2500,-49300,24.39
2015-07-03,15800,373700,900,-89500,23.65
2015-06-26,14900,463200,3300,-256000,31.09
2015-06-19,11600,719200,-400,80700,62.0
2015-06-12,12000,638500,5700,-7900,53.21
2015-06-05,6300,646400,-1800,33400,102.6
2015-05-29,8100,613000,1900,27300,75.68
2015-05-22,6200,585700,-300,-60800,94.47
2015-05-15,6500,646500,-2400,-69600,99.46
2015-05-01,8900,716100,1700,29800,80.46
2015-04-24,7200,686300,-4100,-106300,95.32
2015-04-17,11300,792600,3800,-206300,70.14
2015-04-10,7500,998900,-4000,-13300,133.19
2015-04-03,11500,1012200,-9000,112200,88.02
2015-03-27,20500,900000,3000,580900,43.9
2015-03-20,17500,319100,-2800,-23000,18.23
2015-03-13,20300,342100,-13200,14100,16.85
2015-03-06,33500,328000,-5800,-45700,9.79
2015-02-27,39300,373700,-1300,-9800,9.51
2015-02-20,40600,383500,-1900,95500,9.45
2015-02-13,42500,288000,3800,4700,6.78
2015-02-06,38700,283300,1200,100,7.32
2015-01-30,37500,283200,5700,-11400,7.55
2015-01-23,31800,294600,-900,-34500,9.26
2015-01-16,32700,329100,-300,-5100,10.06
2015-01-09,33000,334200,4900,-3600,10.13
2015-01-02,28100,337800,-800,-47300,12.02
2014-12-19,28900,385100,-1400,1100,13.33
2014-12-12,30300,384000,-4600,-27800,12.67
2014-12-05,34900,411800,5800,-81400,11.8
2014-11-28,29100,493200,-1800,-98700,16.95
2014-11-21,30900,591900,-3700,-131200,19.16
2014-11-14,34600,723100,5000,-206600,20.9
2014-11-07,29600,929700,200,-68400,31.41
2014-10-31,29400,998100,-600,-5900,33.95
2014-10-24,30000,1004000,-1300,61200,33.47
2014-10-17,31300,942800,-6000,-24700,30.12
2014-10-10,37300,967500,9500,-53100,25.94
2014-10-03,27800,1020600,600,78600,36.71
2014-09-26,27200,942000,-400,26400,34.63
2014-09-19,27600,915600,400,-76900,33.17
2014-09-12,27200,992500,-4300,40200,36.49
2014-09-05,31500,952300,-200,29400,30.23
2014-08-29,31700,922900,3800,102000,29.11
2014-08-22,27900,820900,0,-154500,29.42
2014-08-15,27900,975400,-6400,-72000,34.96
2014-08-08,34300,1047400,1900,61900,30.54
2014-08-01,32400,985500,4000,-34900,30.42
2014-07-25,28400,1020400,-3300,12300,35.93
2014-07-18,31700,1008100,-1000,-48700,31.8
