2015-07-10,104000,146000,-16000,-17000,1.4
2015-07-03,120000,163000,-45000,31000,1.36
2015-06-26,165000,132000,21000,-13000,0.8
2015-06-19,144000,145000,5000,-21000,1.01
2015-06-12,139000,166000,-13000,-30000,1.19
2015-06-05,152000,196000,102000,19000,1.29
2015-05-29,50000,177000,-12000,4000,3.54
2015-05-22,62000,173000,-2000,-142000,2.79
2015-05-15,64000,315000,-19000,69000,4.92
2015-05-01,83000,246000,-3000,-32000,2.96
2015-04-24,86000,278000,-21000,-21000,3.23
2015-04-17,107000,299000,28000,43000,2.79
2015-04-10,79000,256000,5000,26000,3.24
2015-04-03,74000,230000,-36000,-3000,3.11
2015-03-27,110000,233000,-73000,28000,2.12
2015-03-20,183000,205000,72000,-29000,1.12
2015-03-13,111000,234000,20000,-108000,2.11
2015-03-06,91000,342000,3000,48000,3.76
2015-02-27,88000,294000,0,81000,3.34
2015-02-20,88000,213000,-9000,-13000,2.42
2015-02-13,97000,226000,11000,-55000,2.33
2015-02-06,86000,281000,-1000,-33000,3.27
2015-01-30,87000,314000,-43000,93000,3.61
2015-01-23,130000,221000,-33000,10000,1.7
2015-01-16,163000,211000,-14000,4000,1.29
2015-01-09,177000,207000,-16000,-7000,1.17
2015-01-02,193000,214000,13000,12000,1.11
2014-12-19,180000,202000,-21000,7000,1.12
2014-12-12,201000,195000,17000,-43000,0.97
2014-12-05,184000,238000,18000,-54000,1.29
2014-11-28,166000,292000,29000,47000,1.76
2014-11-21,137000,245000,6000,67000,1.79
2014-11-14,131000,178000,5000,-16000,1.36
2014-11-07,126000,194000,-36000,8000,1.54
2014-10-31,162000,186000,24000,8000,1.15
2014-10-24,138000,178000,-160000,16000,1.29
2014-10-17,298000,162000,203000,12000,0.54
2014-10-10,95000,150000,-146000,14000,1.58
2014-10-03,241000,136000,26000,-211000,0.56
2014-09-26,215000,347000,51000,-40000,1.61
2014-09-19,164000,387000,-95000,-72000,2.36
2014-09-12,259000,459000,60000,-108000,1.77
2014-09-05,199000,567000,-23000,-23000,2.85
2014-08-29,222000,590000,39000,24000,2.66
2014-08-22,183000,566000,-112000,-45000,3.09
2014-08-15,295000,611000,134000,-31000,2.07
2014-08-08,161000,642000,-21000,-233000,3.99
2014-08-01,182000,875000,-117000,-204000,4.81
2014-07-25,299000,1079000,-1022000,571000,3.61
2014-07-18,1321000,508000,1085000,147000,0.38
2014-07-11,236000,361000,88000,55000,1.53
2014-07-04,148000,306000,-57000,48000,2.07
2014-06-27,205000,258000,4000,-44000,1.26
2014-06-20,201000,302000,-35000,62000,1.5
2014-06-13,236000,240000,-47000,53000,1.02
2014-06-06,283000,187000,117000,-15000,0.66
2014-05-30,166000,202000,-126000,-45000,1.22
2014-05-23,292000,247000,13000,-19000,0.85
2014-05-16,279000,266000,-13000,-94000,0.95
2014-05-09,292000,360000,-9000,-21000,1.23
2014-05-02,301000,381000,-93000,-13000,1.27
2014-04-25,394000,394000,67000,-64000,1.0
2014-04-18,327000,458000,-11000,-20000,1.4
2014-04-11,338000,478000,-42000,12000,1.41
2014-04-04,380000,466000,-71000,20000,1.23
2014-03-28,451000,446000,56000,-154000,0.99
2014-03-21,395000,600000,-21000,-33000,1.52
2014-03-14,416000,633000,-9000,-25000,1.52
2014-03-07,425000,658000,-10000,-91000,1.55
2014-02-28,435000,749000,123000,-27000,1.72
2014-02-21,312000,776000,4000,-113000,2.49
2014-02-14,308000,889000,125000,154000,2.89
2014-02-07,183000,735000,-28000,51000,4.02
2014-01-31,211000,684000,64000,-22000,3.24
2014-01-24,147000,706000,3000,-49000,4.8
2014-01-17,144000,755000,11000,24000,5.24
2014-01-10,133000,731000,-156000,-119000,5.5
2014-01-03,289000,850000,0,43000,2.94
2013-12-20,289000,807000,-34000,-53000,2.79
2013-12-13,323000,860000,-107000,-199000,2.66
2013-12-06,430000,1059000,90000,17000,2.46
2013-11-29,340000,1042000,88000,176000,3.06
2013-11-22,252000,866000,-27000,30000,3.44
2013-11-15,279000,836000,96000,52000,3.0
2013-11-08,183000,784000,158000,248000,4.28
2013-11-01,25000,536000,-25000,44000,21.44
2013-10-25,50000,492000,-4000,133000,9.84
2013-10-18,54000,359000,10000,60000,6.65
2013-10-11,44000,299000,-10000,-17000,6.8
2013-10-04,54000,316000,20000,61000,5.85
2013-09-27,34000,255000,1000,35000,7.5
2013-09-20,33000,220000,4000,-4000,6.67
2013-09-13,29000,224000,-49000,29000,7.72
2013-09-06,78000,195000,-3000,17000,2.5
2013-08-30,81000,178000,2000,50000,2.2
2013-08-23,79000,128000,-52000,-1000,1.62
2013-08-16,131000,129000,24000,-64000,0.98
2013-08-09,107000,193000,59000,69000,1.8
2013-08-02,48000,124000,-35000,5000,2.58
2013-07-26,83000,119000,-8000,-22000,1.43
2013-07-19,91000,141000,25000,14000,1.55
2013-07-12,66000,127000,7000,5000,1.92
2013-07-05,59000,122000,3000,3000,2.07
2013-06-28,56000,119000,-16000,-60000,2.13
2013-06-21,72000,179000,41000,-29000,2.49
2013-06-14,31000,208000,1000,13000,6.71
2013-06-07,30000,195000,-7000,-41000,6.5
2013-05-31,37000,236000,-124000,-2000,6.38
2013-05-24,161000,238000,-131000,0,1.48
2013-05-17,292000,238000,-92000,-23000,0.82
2013-05-10,384000,261000,16000,-40000,0.68
2013-05-03,368000,301000,1000,-10000,0.82
2013-04-26,367000,311000,82000,-82000,0.85
2013-04-19,285000,393000,13000,8000,1.38
2013-04-12,272000,385000,-16000,25000,1.42
2013-04-05,288000,360000,55000,31000,1.25
2013-03-29,233000,329000,-163000,12000,1.41
2013-03-22,396000,317000,90000,-37000,0.8
2013-03-15,306000,354000,43000,-25000,1.16
2013-03-08,263000,379000,31000,-30000,1.44
2013-03-01,232000,409000,-7000,-40000,1.76
2013-02-22,239000,449000,3000,148000,1.88
2013-02-15,236000,301000,-14000,6000,1.28
2013-02-08,250000,295000,61000,88000,1.18
2013-02-01,189000,207000,-4000,14000,1.1
2013-01-25,193000,193000,-34000,-6000,1.0
2013-01-18,227000,199000,39000,-19000,0.88
2013-01-11,188000,218000,61000,42000,1.16
2013-01-04,127000,176000,7000,-30000,1.39
2012-12-21,120000,206000,8000,-75000,1.72
2012-12-14,112000,281000,21000,-69000,2.51
2012-12-07,91000,350000,-7000,20000,3.85
2012-11-30,98000,330000,2000,-25000,3.37
2012-11-23,96000,355000,-12000,7000,3.7
2012-11-16,108000,348000,-29000,0,3.22
2012-11-09,137000,348000,-1000,45000,2.54
2012-11-02,138000,303000,5000,11000,2.2
2012-10-26,133000,292000,-33000,1000,2.2
2012-10-19,166000,291000,3000,-44000,1.75
2012-10-12,163000,335000,-12000,17000,2.06
2012-10-05,175000,318000,11000,27000,1.82
2012-09-28,164000,291000,-43000,-18000,1.77
2012-09-21,207000,309000,68000,-7000,1.49
2012-09-14,139000,316000,-13000,28000,2.27
2012-09-07,152000,288000,-24000,8000,1.89
2012-08-31,176000,280000,17000,9000,1.59
2012-08-24,159000,271000,-57000,-98000,1.7
2012-08-17,216000,369000,23000,-5000,1.71
2012-08-10,193000,374000,-3000,105000,1.94
2012-08-03,196000,269000,-9000,12000,1.37
2012-07-27,205000,257000,4000,-3000,1.25
2012-07-20,201000,260000,-22000,13000,1.29
2012-07-13,223000,247000,6000,-13000,1.11
2012-07-06,217000,260000,-59000,-1000,1.2
2012-06-29,276000,261000,23000,-59000,0.95
2012-06-22,253000,320000,-5000,-35000,1.26
2012-06-15,258000,355000,6000,13000,1.38
2012-06-08,252000,342000,32000,40000,1.36
2012-06-01,220000,302000,79000,-62000,1.37
2012-05-25,141000,364000,2000,-12000,2.58
2012-05-18,139000,376000,-37000,-18000,2.71
2012-05-11,176000,394000,43000,16000,2.24
2012-04-27,133000,378000,-12000,-39000,2.84
2012-04-20,145000,417000,18000,-12000,2.88
2012-04-13,127000,429000,-9000,-46000,3.38
2012-04-06,136000,475000,12000,-51000,3.49
2012-03-30,124000,526000,-65000,48000,4.24
2012-03-23,189000,478000,74000,-25000,2.53
2012-03-16,115000,503000,10000,29000,4.37
2012-03-09,105000,474000,15000,-102000,4.51
2012-03-02,90000,576000,64000,-102000,6.4
2012-02-24,26000,678000,8000,88000,26.08
2012-02-17,18000,590000,5000,31000,32.78
