2015-07-10,89300,87100,19000,44200,0.98
2015-07-03,70300,42900,-54000,-7100,0.61
2015-06-26,124300,50000,4000,-5900,0.4
2015-06-19,120300,55900,43900,-1900,0.46
2015-06-12,76400,57800,15800,-300,0.76
2015-06-05,60600,58100,-2500,-700,0.96
2015-05-29,63100,58800,-161800,1400,0.93
2015-05-22,224900,57400,11400,-19100,0.26
2015-05-15,213500,76500,-2800,-21700,0.36
2015-05-01,216300,98200,-8800,32500,0.45
2015-04-24,225100,65700,-14800,9700,0.29
2015-04-17,239900,56000,37700,-1400,0.23
2015-04-10,202200,57400,900,14000,0.28
2015-04-03,201300,43400,2300,-6300,0.22
2015-03-27,199000,49700,-24000,1100,0.25
2015-03-20,223000,48600,15000,-300,0.22
2015-03-13,208000,48900,3900,-12300,0.24
2015-03-06,204100,61200,-3300,17200,0.3
2015-02-27,207400,44000,8500,-1000,0.21
2015-02-20,198900,45000,-25400,-6900,0.23
2015-02-13,224300,51900,-24500,-30000,0.23
2015-02-06,248800,81900,25100,-12100,0.33
2015-01-30,223700,94000,-6100,-22500,0.42
2015-01-23,229800,116500,-58000,-9000,0.51
2015-01-16,287800,125500,-28700,-15600,0.44
2015-01-09,316500,141100,22600,3000,0.45
2015-01-02,293900,138100,-31800,-29700,0.47
2014-12-19,325700,167800,29500,-15600,0.52
2014-12-12,296200,183400,13300,-31000,0.62
2014-12-05,282900,214400,-13400,-69900,0.76
2014-11-28,296300,284300,-129400,-2700,0.96
2014-11-21,425700,287000,186800,-15200,0.67
2014-11-14,238900,302200,-4800,-21900,1.26
2014-11-07,243700,324100,24300,-25800,1.33
2014-10-31,219400,349900,800,-26900,1.59
2014-10-24,218600,376800,-63900,-19300,1.72
2014-10-17,282500,396100,43400,15500,1.4
2014-10-10,239100,380600,-46400,24100,1.59
2014-10-03,285500,356500,36100,-22900,1.25
2014-09-26,249400,379400,-9500,-6800,1.52
2014-09-19,258900,386200,-4100,-9200,1.49
2014-09-12,263000,395400,4500,14500,1.5
2014-09-05,258500,380900,-8800,19200,1.47
2014-08-29,267300,361700,16300,62400,1.35
2014-08-22,251000,299300,8500,13700,1.19
2014-08-15,242500,285600,6300,2400,1.18
2014-08-08,236200,283200,-12300,4300,1.2
2014-08-01,248500,278900,-5800,5700,1.12
2014-07-25,254300,273200,15100,30900,1.07
2014-07-18,239200,242300,-21000,21100,1.01
2014-07-11,260200,221200,-47500,-11200,0.85
2014-07-04,307700,232400,-23500,-32100,0.76
2014-06-27,331200,264500,-34000,17100,0.8
2014-06-20,365200,247400,86700,58300,0.68
2014-06-13,278500,189100,10100,15200,0.68
2014-06-06,268400,173900,-18500,-13900,0.65
2014-05-30,286900,187800,-32700,10300,0.65
2014-05-23,319600,177500,83200,-1700,0.56
2014-05-16,236400,179200,-30000,5700,0.76
2014-05-09,266400,173500,161500,17300,0.65
2014-05-02,104900,156200,12700,53100,1.49
2014-04-25,92200,103100,1800,1000,1.12
2014-04-18,90400,102100,6400,-24500,1.13
2014-04-11,84000,126600,500,-16700,1.51
2014-04-04,83500,143300,13300,1400,1.72
2014-03-28,70200,141900,1900,-16800,2.02
2014-03-21,68300,158700,-16500,43500,2.32
2014-03-14,84800,115200,8500,28400,1.36
2014-03-07,76300,86800,-61400,-500,1.14
2014-02-28,137700,87300,-54600,-4500,0.63
2014-02-21,192300,91800,-13400,-40500,0.48
2014-02-14,205700,132300,-14700,20000,0.64
2014-02-07,220400,112300,73600,55200,0.51
2014-01-31,146800,57100,-20800,3400,0.39
