2015-07-10,137000,213000,-6000,-17000,1.55
2015-07-03,143000,230000,-17000,-57000,1.61
2015-06-26,160000,287000,17000,-15000,1.79
2015-06-19,143000,302000,8000,-77000,2.11
2015-06-12,135000,379000,-7000,-41000,2.81
2015-06-05,142000,420000,-7000,113000,2.96
2015-05-29,149000,307000,-19000,74000,2.06
2015-05-22,168000,233000,-9000,-10000,1.39
2015-05-15,177000,243000,10000,12000,1.37
2015-05-01,167000,231000,-88000,59000,1.38
2015-04-24,255000,172000,2000,-5000,0.67
2015-04-17,253000,177000,-57000,23000,0.7
2015-04-10,310000,154000,161000,-23000,0.5
2015-04-03,149000,177000,32000,-90000,1.19
2015-03-27,117000,267000,-58000,127000,2.28
2015-03-20,175000,140000,-59000,14000,0.8
2015-03-13,234000,126000,-14000,2000,0.54
2015-03-06,248000,124000,3000,30000,0.5
2015-02-27,245000,94000,6000,39000,0.38
2015-02-20,239000,55000,-18000,-20000,0.23
2015-02-13,257000,75000,62000,21000,0.29
2015-02-06,195000,54000,132000,-108000,0.28
2015-01-30,63000,162000,1000,-9000,2.57
2015-01-23,62000,171000,7000,1000,2.76
2015-01-16,55000,170000,-5000,-5000,3.09
2015-01-09,60000,175000,-5000,5000,2.92
2015-01-02,65000,170000,6000,10000,2.62
2014-12-19,59000,160000,-17000,18000,2.71
2014-12-12,76000,142000,-6000,5000,1.87
2014-12-05,82000,137000,-9000,27000,1.67
2014-11-28,91000,110000,-12000,24000,1.21
2014-11-21,103000,86000,-16000,15000,0.83
2014-11-14,119000,71000,-48000,9000,0.6
2014-11-07,167000,62000,-22000,16000,0.37
2014-10-31,189000,46000,17000,-18000,0.24
2014-10-24,172000,64000,50000,-35000,0.37
2014-10-17,122000,99000,-9000,8000,0.81
2014-10-10,131000,91000,-19000,-9000,0.69
2014-10-03,150000,100000,-23000,-38000,0.67
2014-09-26,173000,138000,-19000,39000,0.8
2014-09-19,192000,99000,2000,1000,0.52
2014-09-12,190000,98000,-50000,-71000,0.52
2014-09-05,240000,169000,4000,1000,0.7
2014-08-29,236000,168000,-28000,16000,0.71
2014-08-22,264000,152000,31000,25000,0.58
2014-08-15,233000,127000,14000,6000,0.55
2014-08-08,219000,121000,-31000,-7000,0.55
2014-08-01,250000,128000,8000,26000,0.51
2014-07-25,242000,102000,10000,-17000,0.42
2014-07-18,232000,119000,-6000,1000,0.51
2014-07-11,238000,118000,-8000,-12000,0.5
2014-07-04,246000,130000,-5000,9000,0.53
2014-06-27,251000,121000,-10000,1000,0.48
2014-06-20,261000,120000,0,24000,0.46
2014-06-13,261000,96000,-1000,-5000,0.37
2014-06-06,262000,101000,-3000,44000,0.39
2014-05-30,265000,57000,-20000,-16000,0.22
2014-05-23,285000,73000,98000,15000,0.26
2014-05-16,187000,58000,23000,28000,0.31
2014-05-09,164000,30000,6000,-1000,0.18
2014-05-02,158000,31000,13000,-7000,0.2
2014-04-25,145000,38000,4000,-21000,0.26
2014-04-18,141000,59000,51000,-37000,0.42
2014-04-11,90000,96000,-14000,3000,1.07
2014-04-04,104000,93000,-8000,-8000,0.89
2014-03-28,112000,101000,24000,-73000,0.9
2014-03-21,88000,174000,2000,-7000,1.98
2014-03-14,86000,181000,-14000,39000,2.1
2014-03-07,100000,142000,7000,-1000,1.42
2014-02-28,93000,143000,12000,6000,1.54
2014-02-21,81000,137000,2000,-6000,1.69
2014-02-14,79000,143000,-2000,-3000,1.81
2014-02-07,81000,146000,-3000,1000,1.8
2014-01-31,84000,145000,-1000,14000,1.73
2014-01-24,85000,131000,9000,-24000,1.54
2014-01-17,76000,155000,20000,-47000,2.04
2014-01-10,56000,202000,-24000,-115000,3.61
2014-01-03,80000,317000,0,45000,3.96
2013-12-20,80000,272000,-3000,-41000,3.4
2013-12-13,83000,313000,-2000,-2000,3.77
2013-12-06,85000,315000,1000,118000,3.71
2013-11-29,84000,197000,-16000,26000,2.35
2013-11-22,100000,171000,15000,-26000,1.71
2013-11-15,85000,197000,-4000,-32000,2.32
2013-11-08,89000,229000,-19000,-19000,2.57
2013-11-01,108000,248000,-31000,-34000,2.3
2013-10-25,139000,282000,-32000,25000,2.03
2013-10-18,171000,257000,8000,-60000,1.5
2013-10-11,163000,317000,-13000,-9000,1.94
2013-10-04,176000,326000,4000,-4000,1.85
2013-09-27,172000,330000,31000,20000,1.92
2013-09-20,141000,310000,3000,21000,2.2
2013-09-13,138000,289000,14000,51000,2.09
2013-09-06,124000,238000,8000,7000,1.92
2013-08-30,116000,231000,2000,5000,1.99
2013-08-23,114000,226000,38000,-62000,1.98
2013-08-16,76000,288000,-4000,61000,3.79
2013-08-09,80000,227000,2000,-7000,2.84
