2015-07-10,70300,3309400,8300,-187000,47.08
2015-07-03,62000,3496400,2300,-177700,56.39
2015-06-26,59700,3674100,-31900,-92000,61.54
2015-06-19,91600,3766100,-31100,4400,41.11
2015-06-12,122700,3761700,-8400,-16800,30.66
2015-06-05,131100,3778500,40700,-845600,28.82
2015-05-29,90400,4624100,600,-98700,51.15
2015-05-22,89800,4722800,-20500,90400,52.59
2015-05-15,110300,4632400,13600,443100,42.0
2015-05-01,96700,4189300,-2500,-184700,43.32
2015-04-24,99200,4374000,-20300,174900,44.09
2015-04-17,119500,4199100,-48100,103800,35.14
2015-04-10,167600,4095300,-24800,348600,24.43
2015-04-03,192400,3746700,36200,-32500,19.47
2015-03-27,156200,3779200,-7200,-108700,24.19
2015-03-20,163400,3887900,-655200,375400,23.79
2015-03-13,818600,3512500,-4172700,422200,4.29
2015-03-06,4991300,3090300,3942100,1398500,0.62
2015-02-27,1049200,1691800,720600,833300,1.61
2015-02-20,328600,858500,70300,-85900,2.61
2015-02-13,258300,944400,-65000,274100,3.66
2015-02-06,323300,670300,-29800,40300,2.07
2015-01-30,353100,630000,-9200,-26100,1.78
2015-01-23,362300,656100,46300,-46500,1.81
2015-01-16,316000,702600,14700,-89200,2.22
2015-01-09,301300,791800,-8800,-38200,2.63
2015-01-02,310100,830000,113400,-159800,2.68
2014-12-19,196700,989800,-60300,19200,5.03
2014-12-12,257000,970600,10500,-6400,3.78
2014-12-05,246500,977000,1300,-38200,3.96
2014-11-28,245200,1015200,-26200,-19100,4.14
2014-11-21,271400,1034300,-10700,-3600,3.81
2014-11-14,282100,1037900,-49500,164600,3.68
2014-11-07,331600,873300,-192900,60900,2.63
2014-10-31,524500,812400,-21000,-83000,1.55
2014-10-24,545500,895400,226800,7200,1.64
2014-10-17,318700,888200,-48300,-48900,2.79
2014-10-10,367000,937100,-36500,1300,2.55
2014-10-03,403500,935800,-32800,-24300,2.32
2014-09-26,436300,960100,600,20700,2.2
2014-09-19,435700,939400,-13900,-400,2.16
2014-09-12,449600,939800,149900,34100,2.09
2014-09-05,299700,905700,-9200,-113400,3.02
2014-08-29,308900,1019100,-27100,182100,3.3
2014-08-22,336000,837000,-55100,118500,2.49
2014-08-15,391100,718500,37500,112900,1.84
2014-08-08,353600,605600,61400,-106400,1.71
2014-08-01,292200,712000,30500,20100,2.44
2014-07-25,261700,691900,31900,10700,2.64
2014-07-18,229800,681200,19900,26900,2.96
2014-07-11,209900,654300,1400,-66500,3.12
2014-07-04,208500,720800,-86900,-35500,3.46
2014-06-27,295400,756300,1100,-31600,2.56
2014-06-20,294300,787900,21000,-62300,2.68
2014-06-13,273300,850200,-40600,-4500,3.11
2014-06-06,313900,854700,19000,-91100,2.72
2014-05-30,294900,945800,180400,-86900,3.21
2014-05-23,114500,1032700,10200,-1100,9.02
2014-05-16,104300,1033800,-5700,52000,9.91
2014-05-09,110000,981800,-37200,43700,8.93
2014-05-02,147200,938100,-50100,-255800,6.37
2014-04-25,197300,1193900,61100,93700,6.05
2014-04-18,136200,1100200,20600,-122400,8.08
2014-04-11,115600,1222600,-62000,-9200,10.58
2014-04-04,177600,1231800,7500,30800,6.94
2014-03-28,170100,1201000,37400,-67700,7.06
2014-03-21,132700,1268700,-69800,12500,9.56
2014-03-14,202500,1256200,-37300,-44400,6.2
2014-03-07,239800,1300600,-6800,-47800,5.42
2014-02-28,246600,1348400,-106200,54300,5.47
2014-02-21,352800,1294100,-171600,-600,3.67
2014-02-14,524400,1294700,96700,280000,2.47
2014-02-07,427700,1014700,33600,-93700,2.37
2014-01-31,394100,1108400,23900,-121500,2.81
2014-01-24,370200,1229900,6300,-26700,3.32
2014-01-17,363900,1256600,-28100,35500,3.45
2014-01-10,392000,1221100,-59300,-98700,3.12
2014-01-03,451300,1319800,102500,-2100,2.92
2013-12-20,348800,1321900,-31600,47300,3.79
2013-12-13,380400,1274600,-41700,-31000,3.35
2013-12-06,422100,1305600,9100,200700,3.09
2013-11-29,413000,1104900,-104600,-62200,2.68
2013-11-22,517600,1167100,-20300,-100000,2.25
2013-11-15,537900,1267100,-128000,-375500,2.36
2013-11-08,665900,1642600,228900,-151500,2.47
2013-11-01,437000,1794100,89300,250300,4.11
2013-10-25,347700,1543800,200,-62500,4.44
2013-10-18,347500,1606300,-22100,-4400,4.62
2013-10-11,369600,1610700,-48600,-100500,4.36
2013-10-04,418200,1711200,16800,-120500,4.09
2013-09-27,401400,1831700,50300,-164500,4.56
2013-09-20,351100,1996200,72900,-295700,5.69
2013-09-13,278200,2291900,207600,146300,8.24
2013-09-06,70600,2145600,4900,35600,30.39
2013-08-30,65700,2110000,11000,-12800,32.12
2013-08-23,54700,2122800,-600,-32800,38.81
2013-08-16,55300,2155600,-7900,-78500,38.98
2013-08-09,63200,2234100,-1800,191300,35.35
2013-08-02,65000,2042800,800,44700,31.43
2013-07-26,64200,1998100,-3000,-12700,31.12
2013-07-19,67200,2010800,-16300,20500,29.92
2013-07-12,83500,1990300,21000,-84300,23.84
2013-07-05,62500,2074600,-48200,15300,33.19
