2,2015-05-14,59.88,60.1,60.84,59.36
2,2015-05-13,60.5,61.23,61.85,60.02
2,2015-05-12,60.75,59.27,61.36,59.12
2,2015-05-11,59.25,59.43,59.85,58.75
2,2015-05-10,59.31,59.44,59.44,59.19
2,2015-05-08,59.39,59.02,59.9,58.14
2,2015-05-07,58.94,60.69,61.31,58.49
2,2015-05-06,60.93,60.72,62.58,60.54
2,2015-05-05,60.4,58.95,61.1,58.63
2,2015-05-04,58.93,59.3,59.73,58.45
2,2015-05-01,59.15,59.79,59.9,58.32
2,2015-04-30,59.63,58.55,59.85,58.38
2,2015-04-29,58.58,56.93,59.33,56.54
2,2015-04-28,57.06,56.65,57.83,56.07
2,2015-04-27,56.99,57.3,57.89,56.52
2,2015-04-24,57.15,57.53,57.95,56.5
2,2015-04-23,57.74,56.28,58.41,55.76
2,2015-04-22,56.16,56.34,57.19,55.73
2,2015-04-21,55.26,56.41,56.91,55.01
2,2015-04-20,56.38,56.16,57.17,54.85
2,2015-04-17,55.74,56.56,56.88,55.31
2,2015-04-16,56.71,55.92,57.42,55.07
2,2015-04-15,56.39,53.55,56.69,53.39
2,2015-04-14,53.29,52.05,53.79,51.83
2,2015-04-13,51.91,51.81,53.1,51.47
2,2015-04-10,51.64,50.73,51.93,50.08
2,2015-04-09,50.79,51.0,52.07,50.51
2,2015-04-08,50.42,53.18,53.23,50.37
2,2015-04-07,53.98,51.95,54.13,51.17
2,2015-04-06,52.14,49.47,52.24,49.47
2,2015-04-02,49.14,49.59,50.27,48.11
2,2015-04-01,50.09,47.55,50.45,47.05
2,2015-03-31,47.6,48.73,48.73,47.28
2,2015-03-30,48.68,48.57,49.16,47.61
2,2015-03-27,48.87,51.01,51.38,48.21
2,2015-03-26,51.43,49.02,52.48,48.73
2,2015-03-25,49.21,47.72,49.46,47.0
2,2015-03-24,47.51,47.46,48.56,46.67
2,2015-03-23,47.45,46.41,47.61,45.33
2,2015-03-20,45.72,43.99,46.53,43.31
2,2015-03-19,43.96,44.6,44.71,42.75
2,2015-03-18,44.66,42.51,45.34,42.03
2,2015-03-17,43.46,43.84,44.2,42.41
2,2015-03-16,43.88,44.81,45.0,42.85
2,2015-03-13,44.84,46.93,47.28,44.75
2,2015-03-12,47.05,48.44,48.76,46.86
2,2015-03-11,48.17,48.77,49.05,47.33
2,2015-03-10,48.29,50.08,50.36,48.2
2,2015-03-09,50.0,49.6,50.79,49.25
2,2015-03-06,49.61,50.89,51.22,48.88
2,2015-03-05,50.76,51.62,52.4,50.61
2,2015-03-04,51.53,50.61,51.99,49.6
2,2015-03-03,50.52,49.8,50.83,49.45
2,2015-03-02,49.59,49.45,51.04,48.71
2,2015-02-27,49.76,48.97,49.94,48.46
2,2015-02-26,48.17,51.0,51.22,47.8
2,2015-02-25,50.99,49.16,51.28,48.43
2,2015-02-24,49.28,49.42,50.33,48.68
2,2015-02-23,49.45,50.75,50.99,48.67
2,2015-02-20,50.34,51.24,51.85,49.91
2,2015-02-19,51.16,50.55,52.14,49.15
2,2015-02-18,52.14,53.24,53.41,50.32
2,2015-02-17,53.53,52.75,54.15,50.81
2,2015-02-16,53.61,54.04,54.08,52.92
2,2015-02-15,54.06,53.75,54.42,53.71
2,2015-02-13,52.78,51.35,53.43,51.03
2,2015-02-12,51.21,49.42,51.6,49.14
2,2015-02-11,48.84,50.98,51.14,48.05
2,2015-02-10,50.02,52.43,52.65,49.86
2,2015-02-09,52.86,52.01,53.99,51.65
2,2015-02-06,51.69,50.86,53.16,50.72
2,2015-02-05,50.48,48.67,52.1,47.36
2,2015-02-04,48.45,51.67,52.56,47.95
2,2015-02-03,53.05,49.79,54.24,49.69
2,2015-02-02,49.57,47.59,50.56,46.67
2,2015-01-30,48.24,44.63,48.35,44.31
2,2015-01-29,44.53,44.43,44.96,43.58
2,2015-01-28,44.45,45.83,45.83,44.08
2,2015-01-27,46.23,45.13,46.55,44.81
2,2015-01-26,45.15,45.2,46.41,44.35
2,2015-01-23,45.59,46.63,47.76,45.21
2,2015-01-22,46.31,47.35,49.09,45.87
2,2015-01-21,47.78,46.69,48.2,46.55
2,2015-01-20,46.39,48.69,48.77,45.89
2,2015-01-19,47.78,48.84,49.19,47.64
2,2015-01-18,48.85,48.95,49.06,48.78
2,2015-01-16,48.69,46.35,48.87,45.95
2,2015-01-15,46.25,48.6,51.27,46.07
2,2015-01-14,48.48,46.16,48.91,45.01
2,2015-01-13,45.89,45.69,46.79,44.2
2,2015-01-12,46.07,48.19,48.19,45.62
2,2015-01-09,48.36,48.92,49.61,47.16
2,2015-01-08,48.79,48.78,49.65,47.73
2,2015-01-07,48.65,48.0,49.31,46.83
2,2015-01-06,47.93,50.0,50.37,47.55
2,2015-01-05,50.04,52.61,52.73,49.68
2,2015-01-02,52.69,53.76,55.11,52.03
2,2015-01-01,54.56,53.73,54.85,53.72
2,2014-12-31,53.27,53.87,54.02,52.44
2,2014-12-30,54.12,53.72,54.32,52.7
2,2014-12-29,53.61,55.05,55.74,52.9
2,2014-12-26,54.73,55.86,56.59,54.51
2,2014-12-25,55.92,55.87,56.05,55.73
2,2014-12-24,55.84,56.8,57.15,55.07
2,2014-12-23,57.12,55.39,57.56,55.06
2,2014-12-22,55.26,57.75,58.53,55.13
2,2014-12-19,56.52,55.5,56.91,54.2
2,2014-12-18,54.11,55.83,58.73,54.05
2,2014-12-17,56.47,55.5,58.98,54.21
2,2014-12-16,55.93,55.4,57.15,53.6
2,2014-12-15,55.91,57.07,58.73,55.02
2,2014-12-12,57.81,59.17,59.57,57.34
2,2014-12-11,59.95,61.12,61.68,58.96
2,2014-12-10,60.94,63.33,63.43,60.43
2,2014-12-09,63.82,63.01,64.2,62.25
2,2014-12-08,63.05,65.46,65.55,62.78
2,2014-12-05,65.84,66.8,66.89,65.17
2,2014-12-04,66.81,67.4,68.22,66.09
2,2014-12-03,67.38,67.6,68.23,66.8
2,2014-12-02,66.88,69.24,69.32,66.67
2,2014-12-01,69.0,66.0,69.54,63.72
2,2014-11-28,66.15,73.5,73.56,65.69
2,2014-11-27,68.55,73.54,73.55,67.77
2,2014-11-26,73.69,73.87,74.48,73.3
2,2014-11-25,74.09,75.51,76.58,73.71
2,2014-11-24,75.78,76.62,77.02,75.45
2,2014-11-21,76.51,76.29,77.83,75.62
2,2014-11-20,75.58,74.25,75.76,74.17
2,2014-11-19,74.58,74.23,75.4,73.88
2,2014-11-18,74.61,75.49,76.44,74.12
2,2014-11-17,75.64,75.93,76.18,74.71
2,2014-11-14,75.82,74.36,76.3,73.25
2,2014-11-13,74.21,76.95,77.16,74.07
2,2014-11-12,77.18,77.5,78.08,76.63
2,2014-11-11,77.94,77.18,78.04,76.42
2,2014-11-10,77.4,78.5,79.85,77.13
2,2014-11-07,78.65,77.86,79.41,77.47
2,2014-11-06,77.91,78.87,78.98,77.12
2,2014-11-05,78.68,77.36,79.35,76.46
2,2014-11-04,77.19,78.22,78.41,75.84
2,2014-11-03,78.78,80.59,80.98,78.08
2,2014-10-31,80.54,81.04,81.27,79.55
2,2014-10-30,81.12,81.93,82.09,80.72
2,2014-10-29,82.2,81.55,82.88,81.44
2,2014-10-28,81.42,80.64,81.66,80.36
2,2014-10-27,81.0,81.27,81.29,79.44
2,2014-10-24,81.01,81.95,81.95,80.36
2,2014-10-23,82.09,80.42,82.37,80.05
2,2014-10-22,80.52,82.55,83.15,80.22
2,2014-10-21,82.81,82.76,84.05,82.29
2,2014-10-20,82.71,83.13,83.48,81.55
2,2014-10-17,82.75,83.18,84.45,82.44
2,2014-10-16,82.7,81.06,84.83,79.78
2,2014-10-15,81.78,82.32,82.45,80.01
2,2014-10-14,81.84,84.98,85.6,81.32
2,2014-10-13,85.74,85.2,85.87,84.07
2,2014-10-10,85.82,84.39,86.29,83.59
2,2014-10-09,85.77,87.73,87.95,84.06
2,2014-10-08,87.31,88.43,88.63,86.83
2,2014-10-07,88.85,90.45,90.57,88.38
2,2014-10-06,90.34,89.77,90.74,88.76
2,2014-10-03,89.74,91.38,91.79,89.36
2,2014-10-02,91.01,90.74,91.54,88.18
2,2014-10-01,90.73,91.36,92.96,90.47
2,2014-09-30,91.16,94.34,94.9,90.86
2,2014-09-29,94.57,93.35,94.64,92.74
2,2014-09-26,93.54,92.47,93.86,92.23
2,2014-09-25,92.53,92.89,93.54,92.05
2,2014-09-24,92.8,91.72,93.29,91.12
2,2014-09-23,91.56,90.7,92.09,90.58
2,2014-09-22,91.52,92.22,92.64,91.2
2,2014-09-19,92.41,92.97,93.22,91.85
2,2014-09-18,93.07,93.97,94.82,92.85
2,2014-09-17,94.42,94.71,95.06,93.74
2,2014-09-16,94.88,92.81,95.19,92.46
2,2014-09-15,92.92,92.13,93.03,90.63
2,2014-09-12,92.27,93.05,93.67,91.96
