1332,2013-11-22,2408300,1991800,24900,-276600,0.83
1332,2013-11-15,2383400,2268400,-83900,-1419300,0.95
1332,2013-11-08,2467300,3687700,102800,-931200,1.49
1332,2013-11-01,2364500,4618900,32300,112900,1.95
1332,2013-10-25,2332200,4506000,226400,1400800,1.93
1332,2013-10-18,2105800,3105200,47100,-43800,1.47
1332,2013-10-11,2058700,3149000,-120100,-17300,1.53
1332,2013-10-04,2178800,3166300,-694900,210900,1.45
1332,2013-09-27,2873700,2955400,-104800,-96400,1.03
1332,2013-09-20,2978500,3051800,-12200,-45900,1.02
1332,2013-09-13,2990700,3097700,24700,-31300,1.04
1332,2013-09-06,2966000,3129000,568800,-356800,1.05
1332,2013-08-30,2397200,3485800,71700,217400,1.45
1332,2013-08-23,2325500,3268400,161200,100800,1.41
1332,2013-08-16,2164300,3167600,-183200,-25200,1.46
1332,2013-08-09,2347500,3192800,144600,103400,1.36
1332,2013-08-02,2202900,3089400,106900,150600,1.4
1332,2013-07-26,2096000,2938800,2500,25700,1.4
1332,2013-07-19,2093500,2913100,6500,-65300,1.39
1332,2013-07-12,2087000,2978400,14700,-255400,1.43
1332,2013-07-05,2072300,3233800,362000,-234400,1.56
1332,2013-06-28,1710300,3468200,82200,-127100,2.03
1332,2013-06-21,1628100,3595300,10500,14600,2.21
1332,2013-06-14,1617600,3580700,-72200,108800,2.21
1332,2013-06-07,1689800,3471900,-135000,-261400,2.05
1332,2013-05-31,1824800,3733300,66300,450600,2.05
1332,2013-05-24,1758500,3282700,-583900,432200,1.87
1332,2013-05-17,2342400,2850500,-298500,794300,1.22
1332,2013-05-10,2640900,2056200,307800,172400,0.78
1332,2013-05-03,2333100,1883800,-89400,116100,0.81
1332,2013-04-26,2422500,1767700,11700,-503700,0.73
1332,2013-04-19,2410800,2271400,-122200,-287700,0.94
1332,2013-04-12,2533000,2559100,358200,48600,1.01
1332,2013-04-05,2174800,2510500,-55500,-30800,1.15
1332,2013-03-29,2230300,2541300,86000,103000,1.14
1332,2013-03-22,2144300,2438300,-61100,-477300,1.14
1332,2013-03-15,2205400,2915600,88000,125800,1.32
1332,2013-03-08,2117400,2789800,-285400,-260800,1.32
1332,2013-03-01,2402800,3050600,-106000,95100,1.27
1332,2013-02-22,2508800,2955500,-152500,950900,1.18
1332,2013-02-15,2661300,2004600,36700,191500,0.75
1332,2013-02-08,2624600,1813100,83300,-537100,0.69
1332,2013-02-01,2541300,2350200,32300,203000,0.92
1332,2013-01-25,2509000,2147200,9400,57100,0.86
1332,2013-01-18,2499600,2090100,-95300,18400,0.84
1332,2013-01-11,2594900,2071700,-411800,-321400,0.8
1332,2013-01-04,3006700,2393100,-33700,-230300,0.8
1332,2012-12-21,3040400,2623400,13700,-198300,0.86
1332,2012-12-14,3026700,2821700,293800,-987300,0.93
1332,2012-12-07,2732900,3809000,675500,-178300,1.39
1332,2012-11-30,2057400,3987300,234600,688100,1.94
1332,2012-11-23,1822800,3299200,-13200,-500,1.81
1332,2012-11-16,1836000,3299700,184100,99500,1.8
1332,2012-11-09,1651900,3200200,33600,345000,1.94
1332,2012-11-02,1618300,2855200,-200500,-100200,1.76
1332,2012-10-26,1818800,2955400,140300,-242000,1.62
1332,2012-10-19,1678500,3197400,276600,-835800,1.9
1332,2012-10-12,1401900,4033200,55100,-4900,2.88
1332,2012-10-05,1346800,4038100,73200,286400,3.0
1332,2012-09-28,1273600,3751700,-157100,-101700,2.95
1332,2012-09-21,1430700,3853400,294300,498700,2.69
1332,2012-09-14,1136400,3354700,6100,84400,2.95
1332,2012-09-07,1130300,3270300,160600,-6300,2.89
1332,2012-08-31,969700,3276600,-69700,56700,3.38
1332,2012-08-24,1039400,3219900,-141100,202400,3.1
1332,2012-08-17,1180500,3017500,143500,-236000,2.56
1332,2012-08-10,1037000,3253500,31200,-256400,3.14
1332,2012-08-03,1005800,3509900,-351200,539100,3.49
1332,2012-07-27,1357000,2970800,161600,146400,2.19
1332,2012-07-20,1195400,2824400,-51300,-67600,2.36
1332,2012-07-13,1246700,2892000,273400,292700,2.32
